#,Name,Price,Year,Mile,Desc,Image
56,"Kia K5 1 поколение Седан , 2016",13200$ ,2016,194000 км,"Седан,
                                        серебряный,
                                        2 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/jscTlLqh20Umi8hE3osjgg/1080x-/20230130/fe169e9177cf28e6c20ae315c123130a.jpg
57,"Lexus ES 6 поколение [рестайлинг] Седан , 2017",29000$ ,2017,84000 км,"Седан,
                                        черный,
                                        2.5 л.,
                                        левый руль,
                                        гибрид,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/1b_7TEF7ymQ1gQT7vCvI9A/1080x-/20230129/2092ddbc29d7ed37235a90e66edf0bdd.jpg
58,"Kia K5 , 2011",10500$ ,2011,346000 км,"2 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/LOlIB6qJPcqAMFtPoBPiwQ/1080x-/20230129/b5cce31fafa9e216240ac09749945f55.jpg
59,"Mercedes-Benz E-Класс W210/S210 Седан 4-дв. , 1996",8400$ ,1996,,"Седан,
                                        серебряный,
                                        3.2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/6cHOxTmE7wFwKbx-GQgelA/1080x-/20230129/38b95eb87e8d5d064f9be23f8df788c3.jpg
60,"Москвич 2136 1 поколение Универсал , 1987",464$ ,1987,510000 км,"Универсал,
                                        синий,
                                        1.4 л.,
                                        левый руль,
                                                    механика,",No picture
61,"Mercedes-Benz E-Класс , 1999",8700$ ,1999,,"2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/GCTQonDY972YT8bIvMgeTw/1080x-/20230129/5266bd7b413c99b42ce278baaafbaa59.jpg
62,"Toyota Avensis 2 поколение Седан , 2004",9500$ ,2004,132000 км,"Седан,
                                        серебряный,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/WUZ0wamaV7OjudfXNI05FQ/1080x-/20230129/d552254d3677ab037d2d4530c59d9b42.jpg
63,"Hyundai Sonata YF Седан 4-дв. , 2016",12900$ ,2016,181000 км,"Седан,
                                        белый,
                                        2 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/7FVG8PAkyWZX3Aqa952rtg/1080x-/20230129/48beac84a1d29821ea4429594beb12a2.jpg
64,"Kia Sorento 3 поколение Prime кроссовер , 2016",24$ ,2016,41000 км,"Кроссовер,
                                        белый жемчуг,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        типтроник,
                                        полный подключаемый,",https://i.cars.kg/preview/r/EB3GHbfGkSjJSWMENBYB_w/1080x-/20230129/89f04e9d14ddde50259b40a0c498f508.jpeg
65,"Toyota Alphard 1 поколение [рестайлинг] Минивэн , 2004",15000$ ,2004,300000 км,"Минивэн / Бус,
                                        серый,
                                        3 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/HrGItk-SFhNpNewBKnjyfA/1080x-/20230129/baefa4c6ab76005c94acfaec00d2c690.jpg
66,"Toyota Camry XV40 [рестайлинг] Hybrid седан 4-дв. , 2011",13900$ ,2011,133000 км,"Седан,
                                        белый,
                                        2.4 л.,
                                        левый руль,
                                        гибрид,
                                        вариатор,
                                        передний,",https://i.cars.kg/preview/r/Uc4MEPYBsmfBYf65eqxNlQ/1080x-/20230129/f3fac8597fed28f7dcfd66a1cc9bac68.jpg
67,"Toyota Camry XV40 , 2008",10500$ ,2008,250 км,"Седан,
                                        серый,
                                        2.4 л.,
                                        левый руль,
                                        газ-бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/V6y9BvoJefZX2Y9UTmYZyA/1080x-/20230129/42d6f1d23f68d0188d11da29b8a5a6d4.jpg
68,"Honda Stream 1 поколение Минивэн , 2002",6200$ ,2002,158000 км,"Минивэн / Бус,
                                        белый,
                                        1.7 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/08RBZEcGfpjGstNUxovAcg/1080x-/20230129/26a8666bb348dd584e1bf17f2adfad39.jpg
69,"Kia Sorento 3 поколение Prime кроссовер , 2016",25500$ ,2016,125000 км,"Кроссовер,
                                        серый,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/klYlX5CPjvC7L7-TJT7Pbw/1080x-/20230129/24c56fb4ddf3ed24e47bea7477981398.jpg
70,"Hyundai Sonata , 2016",13800$ ,2016,155000 км,"Седан,
                                        серебряный,
                                        2 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/KRo37QFzIXTuNN0F6okUgA/1080x-/20230129/c68f0a18af529a9c163bcf49dedb2ff8.jpg
71,"Lexus GX 1 поколение Внедорожник , 2005",25500$ ,2005,272000 км,"Внедорожник / Пикап,
                                        золотой,
                                        4.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/kEhw07MDI47-FQyDnYJNzA/1080x-/20230129/cddea097f4097f118b8ebf41627cf000.jpg
72,"Lexus GS 2 поколение Седан , 2001",6800$ ,2001,177000 км,"Седан,
                                        вишневый,
                                        3 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/8MsjyBT7nLOZ4hyfNBNM4w/1080x-/20230129/fc6fbeb23d8d4b54485897167b5062c5.jpg
73,"Kia Morning 2 поколение , 2016",9300$ ,2016,98600 км,"бежевый,
                                        1 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/o7eQiqz87yltmhcMKjiqqg/1080x-/20230129/2176308476e7e2c99bb0e3f48879903d.jpg
74,"Volkswagen Golf 3 поколение Хетчбэк 5-дв. , 1994",2901$ ,1994,200000 км,"Хэтчбек,
                                        фиолетовый,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/0Z_H0wi8BhHciBEmax9Zhg/1080x-/20230129/0a29f368f19bbb870876fc8ff9cb4f76.jpg
75,"Chevrolet Captiva 1 поколение [2-й рестайлинг] Кроссовер , 2022",29000$ ,2022,30 км,"Кроссовер,
                                        белый,
                                        1.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/1X0GUNjDg9YAe81DqgwSNQ/1080x-/20230129/c30ddeabf9927cc7bcbd60c1f2bce524.jpg
76,"Hyundai Tucson 3 поколение Кроссовер , 2022",36500$ ,2022,30 км,"Кроссовер,
                                        белый,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/LRpk6xSuRdcb7h2mIHkK5Q/1080x-/20230129/e6918f5536dd9546c7c9c2f43db32504.jpg
77,"Kia Sportage 4 поколение Кроссовер , 2022",43000$ ,2022,30 км,"Кроссовер,
                                        белый,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/410U8nkbh8jk6PbN1jFvbA/1080x-/20230129/a16158085ef1bb884f31f5c5ebcb5519.jpg
78,"Toyota RAV4 2 поколение Кроссовер 5-дв. , 2001",7900$ ,2001,,"Кроссовер,
                                        серебряный,
                                        1990 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        полный подключаемый,",https://i.cars.kg/preview/r/9NdCeheIyJ-T_XGMqvSL9g/1080x-/20230129/ec17f72193c5dca8b98b697db8dec8a2.jpg
79,"Toyota Ist 1 поколение Хетчбэк , 2003",67$ ,2003,,"Хэтчбек,
                                        белый,
                                        1.3 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/Y1G7kXqXF1HXoUwiSlO_Ow/1080x-/20230129/3611aa23cb24ac75f02543a17c742a5e.jpg
80,"Hyundai Santa Fe CM Кроссовер , 2008",12300$ ,2008,110000 км,"Кроссовер,
                                        белый,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/kU9WgJ3AL_mXyj-8PpQwjw/1080x-/20230128/ea34398dcd82226782d13b7eb4b16523.jpg
81,"Volkswagen Golf 3 поколение Хетчбэк 5-дв. , 1993",3800$ ,1993,182 км,"Хэтчбек,
                                        баклажан,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",No picture
82,"Mercedes-Benz CL-Класс C215 , 2020",8000$ ,2020,2000 км,"3.2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/sP_meEKEZueDUiq7RrGdGA/1080x-/20230128/1fa79f71e1f0a4ba6e4f6a7c9b45f24b.jpg
83,"Honda Inspire 4 поколение Седан , 2003",9$ ,2003,175000 км,"Седан,
                                        белый,
                                        3.0 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/btYyMyYPKyxKxvOLaHaJCw/1080x-/20230128/578110fe7220c77839672a358107b9bd.jpg
84,"Toyota Land Cruiser J200 [2-й рестайлинг] Внедорожник , 2021",130000$ ,2021,1 км,"Внедорожник / Пикап,
                                        белый,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/iKt_OPQuvdifELejkgqDaw/1080x-/20230128/46af747e06c454b34ebaf94a18260b88.jpg
